EPIC,DATETIME,BID_OPEN,BID_HIGH,BID_LOW,BID_CLOSE,LTV
GBPUSD,2019-07-26 04:09:00,1.2446,1.24461,1.24459,1.24459,37409.9998
GBPUSD,2019-07-26 04:10:00,1.24459,1.24462,1.24459,1.2446,14210
GBPUSD,2019-07-26 04:11:00,1.24461,1.24464,1.2446,1.24461,17299.9992
GBPUSD,2019-07-26 04:12:00,1.24461,1.24462,1.24461,1.24461,9880.0001
GBPUSD,2019-07-26 04:13:00,1.24459,1.24462,1.24459,1.24461,11590.0002
GBPUSD,2019-07-26 04:14:00,1.2446,1.2446,1.2446,1.2446,2720
GBPUSD,2019-07-26 04:15:00,1.24459,1.2446,1.24459,1.24459,41849.9985
GBPUSD,2019-07-26 04:16:00,1.24459,1.2446,1.24459,1.2446,44610.0006
GBPUSD,2019-07-26 04:17:00,1.2446,1.24462,1.2446,1.24462,27329.9999
GBPUSD,2019-07-26 04:18:00,1.24461,1.24472,1.24461,1.2447,23829.9999
GBPUSD,2019-07-26 04:19:00,1.2447,1.24471,1.2447,1.24471,14109.9997
GBPUSD,2019-07-26 04:20:00,1.2447,1.24481,1.2447,1.24479,44580.0018
GBPUSD,2019-07-26 04:21:00,1.2448,1.24482,1.2448,1.24482,39290.0009
GBPUSD,2019-07-26 04:22:00,1.24481,1.24483,1.24479,1.24481,53459.9991
GBPUSD,2019-07-26 04:23:00,1.24481,1.24481,1.24481,1.24481,31600.0004
GBPUSD,2019-07-26 04:24:00,1.24482,1.24482,1.2448,1.24482,27170.0001
GBPUSD,2019-07-26 04:25:00,1.24482,1.24482,1.2448,1.2448,9609.9997
